nazwa firmy;województwo;miejscowość;ulica;kod pocztowy;osoba kontaktowa;telefon;tel. kom.;adres www;zatrudnienie;nip;regon;
Przedsiębiorstwo Techniczno-Budowlane TRAKT Sławomir Szast;lubelskie;Lublin;Zagłoby 5;20717;Sławomir Szast;(081) 526-99-67;601-25-92-32;;;;11-20;
Pracownia Artystyczna Polam;lubuskie;Nowa Sól;Piłsudskiego 40;67-100;Grzegorz Romanowicz;(0-68) 387 02 09;;www.polam.info;;;5-10;
BioArt;łódzkie;Łódź;Jaracza 36 B/10;90 252;Michał Marek;(0-42) 633 76 90;0606132594;;;;5-10;
StachGont;małopolskie;Podwilk;Podwilk 254;34-722;Stanisław Możdżeń;(018) 28 529 12;(+48) 604 236 995;;7351952089;490 77 49 11;1-4;
BUTWIN Projekt - inż. Sławomir Butwin;zachodniopomorskie;Police;Pułaskiego 6;72-010;Sławomir Butwin;;517702182;;8393012345;221-943-377;1-4;
WM Pracownia Projektowania Miasta Sp. z o. o.;pomorskie;Gdańsk;Klonowa 1;80-264;;058 345 69 26;;;5840203015;00 28 54 640;5-10;
Cdom projekty & wnętrza;śląskie;Sosnowiec;Zielonogórska 34A/4;41–2;;666 357 363;666 357 363;;6811057020;120894450;5-10;
STM Apartamenty;pomorskie;Rumia;(0-58) 671-26-93;84-230;;(0-58) 671-26-93;;www.stmapartamenty.pl;;;;
Ink Design Studio;śląskie;Mysłowice;Grunwaldzka 3-3;41+400;Michał Roś;;600007049;;;;1-4;
Atelier Krajobrazu;mazowieckie;Warszawa;Elegancka 3;79 76;;088 642 79 76;;www.atelierkrajobrazu.pl;;;;
Teresa Kubicka-Ćwikła;dolnośląskie;Wrocław;Głowackiego 17m2;51691;;;0601144586;;;;;
Pracownia Projektowa TEKTUM Irmina Lisiecka;lubelskie;Łęczna;Jana Pawła II 76 Rynek II 11;20-210;;81 46 27 123;602 458 772 507 306 969;;7131797741;;1-4;
Biuro kosztorysowe Estimate Polska;mazowieckie;Warszawa;Niepodległości 132;02-554;Marcin Maksymiuk;798-WYCENY;798-992369;;;;;
Jarbud;świętokrzyskie;Kielce;Paderewskiego 48 (Centrum Rondo);;;(0-41) 343-17-09;;;;;;
Walter i Walter Architekci Sp. z o. o.;łódzkie;Łódź;Małachowskiego 28c;90 158;Wojciech Walter;042 6340814;;;7250013421;470551581;1-4;
Strongwood Polska;warmińsko-mazurskie;Barczewo;Ruszajny 19a;11-010;Mirosław Hałasa;089 / 514 12 14;508 089 744;;6781841736;519 491 341;1-4;

